query_id,neighbor_id,neighbor_type,dfrechet
mot0,mot398,mot,0.08079897612333298
mot0,mot2115,mot,0.19028766453266144
mot0,mot1669,mot,0.2771759629249573
mot0,mot570,mot,0.2861986458301544
mot0,mot550,mot,0.29516664147377014
mot0,mot2680,mot,0.32368406653404236
mot0,mot645,mot,0.3548260033130646
mot0,mot755,mot,0.3571222722530365
mot0,mot180,mot,0.3735749423503876
mot0,mot2669,mot,0.404281884431839
mot0,mot1091,mot,0.5011857151985168
mot0,mot2283,mot,0.5512912273406982
mot0,mot1667,mot,0.5522398948669434
mot0,mot1161,mot,0.5924953818321228
mot0,mot1897,mot,0.6058559417724609
mot0,mot486,mot,0.6178267002105713
mot0,mot1900,mot,0.6211457848548889
mot0,mot976,mot,0.6263214349746704
mot0,mot624,mot,0.6301012635231018
mot0,mot2022,mot,0.6304358839988708
mot0,mot211,mot,0.6350012421607971
mot0,mot2687,mot,0.6352914571762085
mot0,mot644,mot,0.6633389592170715
mot0,mot920,mot,0.670532763004303
mot0,mot2489,mot,0.670549213886261
mot0,mot906,mot,0.6724687218666077
mot0,mot716,mot,0.6773556470870972
mot0,mot2195,mot,0.7011927962303162
mot0,mot1793,mot,0.7012293338775635
mot0,mot1121,mot,0.7057009339332581
mot0,mot200,mot,0.708465576171875
mot0,mot1572,mot,0.7094691395759583
mot0,mot2632,mot,0.7094691395759583
mot0,mot519,mot,0.7184084057807922
mot0,mot1950,mot,0.7256662845611572
mot0,mot1006,mot,0.7293192744255066
mot0,mot101,mot,0.7310120463371277
mot0,mot1631,mot,0.735458493232727
mot0,mot988,mot,0.7430118918418884
mot0,mot483,mot,0.7475172281265259
mot0,mot826,mot,0.7507455348968506
mot0,mot2530,mot,0.782123863697052
mot0,mot698,mot,0.8099681735038757
mot0,mot2600,mot,0.8186153173446655
mot0,mot549,mot,0.8258143067359924
mot0,mot1482,mot,0.8407902717590332
mot0,mot2695,mot,0.858092725276947
mot0,mot1049,mot,0.865388035774231
mot0,mot1641,mot,0.8858463764190674
mot0,mot127,mot,0.9103610515594482
